RODADA DE LICITAÇÃO;ANO;TIPO DE DADO;VALOR DA VARIÁVEL
Rodada 17;2021;Novos operadores;-
Rodada 1;1999;Conteúdo local médio – fase de exploração (%);25,0%
Rodada 2;2000;Conteúdo local médio – fase de exploração (%);42,0%
Rodada 3;2001;Conteúdo local médio – fase de exploração (%);28,0%
Rodada 4;2002;Conteúdo local médio – fase de exploração (%);39,0%
Rodada 5;2003;Conteúdo local médio – fase de exploração (%);78,8%
Rodada 6;2004;Conteúdo local médio – fase de exploração (%);85,7%
Rodada 7;2005;Conteúdo local médio – fase de exploração (%);74,0%
Rodada 9;2007;Conteúdo local médio – fase de exploração (%);68,9%
Rodada 10;2008;Conteúdo local médio – fase de exploração (%);79,0%
Rodada 11;2013;Conteúdo local médio – fase de exploração (%);61,5%
Rodada 12;2013;Conteúdo local médio – fase de exploração (%);72,6%
Rodada 13;2015;Conteúdo local médio – fase de exploração (%);73,1%
Rodada 14 ;2017;Conteúdo local médio – fase de exploração (%);38,8%
Rodada 15;2018;Conteúdo local médio – fase de exploração (%);18,0%
Rodada 16;2019;Conteúdo local médio – fase de exploração (%);18,0%
Rodada 17;2021;Conteúdo local médio – fase de exploração (%);18,0%
Rodada 1;1999;Conteúdo local médio – etapa de desenvolvimento da produção (%);27,0%
Rodada 2;2000;Conteúdo local médio – etapa de desenvolvimento da produção (%);48,0%
Rodada 3;2001;Conteúdo local médio – etapa de desenvolvimento da produção (%);40,0%
Rodada 4;2002;Conteúdo local médio – etapa de desenvolvimento da produção (%);54,0%
Rodada 5;2003;Conteúdo local médio – etapa de desenvolvimento da produção (%);85,6%
Rodada 6;2004;Conteúdo local médio – etapa de desenvolvimento da produção (%);88,8%
Rodada 7;2005;Conteúdo local médio – etapa de desenvolvimento da produção (%);81,0%
Rodada 9;2007;Conteúdo local médio – etapa de desenvolvimento da produção (%);76,5%
Rodada 10;2008;Conteúdo local médio – etapa de desenvolvimento da produção (%);84,0%
Rodada 11;2013;Conteúdo local médio – etapa de desenvolvimento da produção (%);75,6%
Rodada 12;2013;Conteúdo local médio – etapa de desenvolvimento da produção (%);84,5%
Rodada 13;2015;Conteúdo local médio – etapa de desenvolvimento da produção (%);79,5%
Rodada 14 ;2017;Conteúdo local médio – etapa de desenvolvimento da produção (%);43,0%
Rodada 15;2018;Conteúdo local médio – etapa de desenvolvimento da produção (%);30,0%
Rodada 16;2019;Conteúdo local médio – etapa de desenvolvimento da produção (%);30,0%
Rodada 17;2021;Conteúdo local médio – etapa de desenvolvimento da produção (%);30,0%
Rodada 1;1999;Bônus de assinatura (milhões de R$);322
Rodada 2;2000;Bônus de assinatura (milhões de R$);468
Rodada 3;2001;Bônus de assinatura (milhões de R$);595
Rodada 4;2002;Bônus de assinatura (milhões de R$);92
Rodada 5;2003;Bônus de assinatura (milhões de R$);27
Rodada 6;2004;Bônus de assinatura (milhões de R$);665
Rodada 7;2005;Bônus de assinatura (milhões de R$);1.086
Rodada 9;2007;Bônus de assinatura (milhões de R$);2.109
Rodada 10;2008;Bônus de assinatura (milhões de R$);89
Rodada 11;2013;Bônus de assinatura (milhões de R$);2.823
Rodada 12;2013;Bônus de assinatura (milhões de R$);165
Rodada 13;2015;Bônus de assinatura (milhões de R$);121
Rodada 14 ;2017;Bônus de assinatura (milhões de R$);3.843
Rodada 15;2018;Bônus de assinatura (milhões de R$);8.015
Rodada 16;2019;Bônus de assinatura (milhões de R$);8.916
Rodada 17;2021;Bônus de assinatura (milhões de R$);37
Rodada 1;1999;Bônus de assinatura arrecadado (milhões de R$);322
Rodada 2;2000;Bônus de assinatura arrecadado (milhões de R$);468
Rodada 3;2001;Bônus de assinatura arrecadado (milhões de R$);595
Rodada 4;2002;Bônus de assinatura arrecadado (milhões de R$);92
Rodada 5;2003;Bônus de assinatura arrecadado (milhões de R$);27
Rodada 6;2004;Bônus de assinatura arrecadado (milhões de R$);665
Rodada 7;2005;Bônus de assinatura arrecadado (milhões de R$);1.085
Rodada 9;2007;Bônus de assinatura arrecadado (milhões de R$);2.102
Rodada 10;2008;Bônus de assinatura arrecadado (milhões de R$);80
