BENEFICIÁRIO;ANO;DISTRIBUIÇÃO DA PARTICIPAÇÃO ESPECIAL SOBRE A PRODUÇÃO DE PETRÓLEO E DE GÁS NATURAL
Município de São João da Barra-RJ;2017;33923,78106
Município de São João da Barra-RJ;2018;49960,31529
Município de São João da Barra-RJ;2019;29300,85526
Município de São João da Barra-RJ;2020;5,87106
Município de São João da Barra-RJ;2021;29858,39908
Município de Saquarema-RJ;2012;0
Município de Saquarema-RJ;2013;0
Município de Saquarema-RJ;2014;0
Município de Saquarema-RJ;2015;0
Município de Saquarema-RJ;2016;0
Município de Saquarema-RJ;2017;0
Município de Saquarema-RJ;2018;0
Município de Saquarema-RJ;2019;62,13649
Município de Saquarema-RJ;2020;125,80262
Município de Saquarema-RJ;2021;133,66637
Município de Satuba-AL;2012;0
Município de Satuba-AL;2013;0
Município de Satuba-AL;2014;0
Município de Satuba-AL;2015;0
Município de Satuba-AL;2016;0
Município de Satuba-AL;2017;0
Município de Satuba-AL;2018;0
Município de Satuba-AL;2019;0
Município de Satuba-AL;2020;0
Município de Satuba-AL;2021;0,97097
Município de Serra-ES;2012;0
Município de Serra-ES;2013;0
Município de Serra-ES;2014;0
Município de Serra-ES;2015;0
Município de Serra-ES;2016;0
Município de Serra-ES;2017;0
Município de Serra-ES;2018;0
Município de Serra-ES;2019;0
Município de Serra-ES;2020;0
Município de Serra-ES;2021;0,07003
Município de Serra do Mel-RN;2012;3
Município de Serra do Mel-RN;2013;10,93305
Município de Serra do Mel-RN;2014;9,48779
Município de Serra do Mel-RN;2015;1,31316
Município de Serra do Mel-RN;2016;0
Município de Serra do Mel-RN;2017;0
Município de Serra do Mel-RN;2018;0
Município de Serra do Mel-RN;2019;0
Município de Serra do Mel-RN;2020;0
Município de Serra do Mel-RN;2021;0,00237
Município de Tefé-AM;2012;0
Município de Tefé-AM;2013;0
Município de Tefé-AM;2014;0
Município de Tefé-AM;2015;0
Município de Tefé-AM;2016;0
Município de Tefé-AM;2017;0
